epoch,loss_avg,loss_test,acc_test,best_acc
125.0,1.4944673460721964,1.4898098850250243,97.13,97.2
126.0,1.4930080291032788,1.4901032230377198,97.08,97.2
127.0,1.4955779929955801,1.4903105243682861,97.08,97.2
128.0,1.497395087877909,1.4892439414978027,97.17,97.2
129.0,1.4930865434010827,1.4899953433990478,97.12,97.2
130.0,1.4958151459693907,1.4895877017974855,97.17,97.2
131.0,1.4956810052792227,1.4895855304718018,97.08,97.2
132.0,1.4921693049271907,1.4896769367218017,97.13,97.2
133.0,1.4960767877896628,1.489118469619751,97.22,97.22
134.0,1.4951344568332035,1.488986290359497,97.21,97.22
135.0,1.4907195463975267,1.4886257175445556,97.25,97.25
136.0,1.488136010567347,1.4889507389068604,97.2,97.25
137.0,1.492521614948908,1.4887751041412354,97.21,97.25
138.0,1.4893616871436435,1.4884268070220947,97.22,97.25
139.0,1.48986649274826,1.4881167087554932,97.28,97.28
140.0,1.4899602539141974,1.4877036380767823,97.35,97.35
141.0,1.487671167055766,1.488327614212036,97.23,97.35
142.0,1.492948496143023,1.4885422733306886,97.25,97.35
143.0,1.486635118405024,1.4879438129425049,97.35,97.35
144.0,1.4865178429285686,1.4880580982208251,97.33,97.35
145.0,1.490966784795125,1.4878086826324464,97.29,97.35
146.0,1.4875862297614417,1.4875467472076416,97.34,97.35
147.0,1.4896769749323528,1.487728168106079,97.34,97.35
148.0,1.4876938877503076,1.487625810623169,97.39,97.39
149.0,1.491480046510696,1.487494609451294,97.34,97.39
150.0,1.4916869132916133,1.4873574268341065,97.34,97.39
151.0,1.4907439850966142,1.4870636997222901,97.39,97.39
152.0,1.4844084315697352,1.4873643726348877,97.38,97.39
153.0,1.4878543209632238,1.4879088687896729,97.31,97.39
154.0,1.4833508801460267,1.4872203937530517,97.37,97.39
155.0,1.4865271818637844,1.4873937915802002,97.36,97.39
156.0,1.4835757366816202,1.4869335437774658,97.43,97.43
157.0,1.4820631202856698,1.4870886219024657,97.4,97.43
158.0,1.4830710895458852,1.487067624282837,97.4,97.43
159.0,1.4828357288042704,1.4870530460357667,97.43,97.43
160.0,1.4831164455811179,1.4869425601959227,97.44,97.44
161.0,1.482603454510371,1.48675569190979,97.45,97.45
162.0,1.4847712429364526,1.4863821613311767,97.49,97.49
163.0,1.483798648516337,1.4867330097198486,97.47,97.49
164.0,1.486945099512736,1.486774283218384,97.48,97.49
165.0,1.482537702480952,1.4868217853546142,97.41,97.49
166.0,1.483683401664098,1.4866222370147706,97.46,97.49
167.0,1.4804801439444224,1.486541664505005,97.47,97.49
168.0,1.483682476123174,1.4871132068634034,97.37,97.49
169.0,1.4865413123766587,1.4866512454986571,97.46,97.49
170.0,1.4809513132969538,1.4864505908966064,97.47,97.49
171.0,1.4866182169119517,1.4867064044952392,97.43,97.49
172.0,1.484338934421539,1.4864961444854736,97.51,97.51
173.0,1.4824439994891483,1.4864085300445558,97.51,97.51
174.0,1.4805289589564006,1.486429666519165,97.49,97.51
175.0,1.4813469795783363,1.4866455478668212,97.48,97.51
176.0,1.4829355008204776,1.4864987384796142,97.48,97.51
177.0,1.4807300902207694,1.4865711566925048,97.47,97.51
